place_id,place_name,place_keyword,place_attractions,place_operatingHour,place_website,place_phonenum,email,place_desc,place_fee,place_address,place_rating,place_numrater,image1_img
1,Petronas Twin Towers,Sculpture,Architectural Buildings,9:00 AM - 9:00 PM,http://www.petronastwintowers.com.my/,tel:%2B603%202331%208080,skybridge@petronas.com.my,"No trip to KL would be complete without a visit to the world's tallest twin towers. The skyscrapers are utterly stunning, particularly when illuminated at night. The Twin Towers Visit Operations is open Tuesday through Sunday and tickets are released at 8:30 a.m. on a first-come, first-served basis. To avoid disappointment, you can purchase your ticket in advance via online ticketing or at the Ticketing Counter, Concourse Level.",Yes,"Concourse Level, Lower Ground Kuala Lumpur City Centre, Kuala Lumpur 50088 Malaysia",4.5,30110,static/place_pics/Petronas Twin Towers.jpg
2,MinNature Malaysia,Museum,National Heritage,11:00 am - 6:00 pm,https://minnature.com/,011-1009 9374,info@minnature.com,A place to celebrate the wonder cultural heritage that makes us Malaysian. Enter this world of miniature and be mesmerised with all the intricate details MinNature Malaysia has to offer. Enjoy the mini stories that comes together and be lost in this magical MinNature world. Come visit us and enjoy your time here.,No,"Jln Sultan Ismail, Bukit Bintang, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",5,98,static/place_pics/MinNature Malaysia.jpg
3,Aquaria,Water Attraction,Aquariums,10:00 AM - 8:00 PM,http://www.aquariaklcc.com/,tel:%2B60%203-2333%201888,marketing@aquawalk.com,"Nestled in the heart of the bustling ""Golden Triangle"" of Kuala Lumpur and within walking distance from the Petronas Twin Towers, Aquaria KLCC is a state-of-the-art oceanarium showcasing over 5,000 different exhibits of aquatic and land-bound creatures over a sprawling 60,000 square-foot space in the Concourse Level of the Kuala Lumpur Convention Centre.",No,"Kuala Lumpur Convention Centre, Jalan Pinang, Kuala Lumpur City Centre, Kuala Lumpur 50088 Malaysia",4,6220�,static/place_pics/Aquaria.jpg
4,KLCC Park,Nature,Wildlife,6:00 AM - 10:00 PM,https://www.suriaklcc.com.my/attractions/klcc-park/,03-2382 2828,info@suriaklcc.com.my,"This is a beautifully landscaped park with approximately 1,900 indigenous trees and palms set amidst soothing water features. The park beckons all in the family with a children�s playground, a wading pool and a 1.3km rubberised jogging track. A delightful attraction here is the Symphony Lake, where two fountains provide dazzling animations.",Yes,"Jalan Ampang, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",4.5,13086,static/place_pics/KLCC Park.jpg
5,Royal Selangor Visitor Centre,Museum,National Heritage,9:00 AM - 5:00 PM,http://royalselangor.com/visitor-centre,+60 3-4145 6000,visitorcentre@royalselangor.com,"Royal Selangor Visitor Centre is the go-to place in Kuala Lumpur, Malaysia to experience pewter, both as a beautiful piece to be admired and as a craft. Wander through intriguing museum exhibits and witness real-time pewter crafting and end your tour with hands-on pewtersmithing workshops. Royal Selangor Visitor Centre is recognised as one of the top tourist attractions in Kuala Lumpur, winning the Traveller's Choice Award by TripAdvisor in 2015.",Yes,"4 Jalan Usahawan 6 Setapak Jaya, Kuala Lumpur 53300 Malaysia",4.5,2350,static/place_pics/Royal Selangor Visitor Centre.jpg
6,Kuala Lumpur Bird Park,Nature,Wildlife�,9:00 AM - 6:00 PM,http://www.klbirdpark.com/,tel:%2B60%203-2272%201010,info@klbirdpark.com,"The world's largest free-flight, walk-in aviary. Set in a sprawling valley, this renowned eco-tourism park is home to more than 3,000 birds.",No,"920 Jalan Cenderawasih Taman Tasik Perdana, Kuala Lumpur 50480 Malaysia",4,7963,static/place_pics/Kuala Lumpur Bird Park.jpg
7,Menara Kuala Lumpur,Sculpture,Towers,9:00 AM - 10:00 PM,http://www.menarakl.com.my/,tel:%2B60%203-2020%205444,menara@menarakl.com.my,"KL Tower or also known as Menara Kuala Lumpur, the tallest Telecommunication Tower in South East Asia & the 7th tallest in the world, was built to improve the quality of telecommunications and broadcasting transmissions. It has become a significant landmark and symbol that identifies Malaysia as a great tourist destination of the millennium and at the same time a testimony of Malaysia�s capability in the building of high technology facilities. Located atop Bukit Nanas at a breathtaking height of 421 meters, KL Tower was built blending the tower seamlessly with nature. Bukit Nanas is one of the oldest permanent forest reserves in Malaysia. It was gazette in 1906 and was formerly known as Bucket Weld Forest Reserve. Covering an area of approximately 9.37 hectares, Bukit Nanas Forest Reserve is the only remaining virgin tropical rainforest in the heart of the city of Kuala Lumpur. Serving as the green lung of the city, Bukit Nanas Forest Reserve is also home to an abundant of flora and fauna of the Malaysian tropical rainforest. In fact, KL Tower is the only tower in the world located within a forest! KL Tower is in the hospitality and business experience industry. It offers experiences such as viewing, dining, nature, adventure, event and shopping. Current products and services offered at KL Tower include Observation Deck, Revolving Restaurant (Atmosphere 360�), Mega View Banquet Hall for Meeting and Seminars / Private Functions such as Wedding in the Sky, Mini Theater, Amphitheater, F1 Simulator, Blue Coral Aquarium, KL Tower Mini Zoo and MKL Performing Arts Group.",No,"No. 2 Jalan Punchak Off Jalan P Ramlee, Kuala Lumpur 50250 Malaysia",4,8641,static/place_pics/Menara Kuala Lumpur.jpg
8,Pavilion KL,Shopping Centre,Shopping Malls,10:00 AM - 10:00 PM,http://www.pavilion-kl.com/,tel:%2B60%203-2118%208833,customerservice@pavilion-kl.com,"Pavilion Kuala Lumpur is an award-winning shopping mall located in the heart of Bukit Bintang, Malaysia�s shopping paradise. Pavilion Kuala Lumpur brings the best of retail with a nett lettable area of over 1.7 million square feet, 700 stores and 8 themed precincts. The Pavilion Crystal Fountain, a symbol of Malaysia�s diverse culture welcomes visitors to this tourist-friendly destination, surrounded by upmarket hotels and a 10-minute walk from KLCC. Enjoy tourist-centric services such as money changers, ATM machines, currency exchange kiosks, as well as specially curated tours for large groups.",Yes,"168 Jalan Bukit Bintang, Kuala Lumpur 55100 Malaysia",4.5,4118,static/place_pics/Pavilion KL.jpg
9,Islamic Arts Museum,Museum,National Heritage,9:30 am - 6:00pm,https://www.iamm.org.my/,03 2092 7070,info@iamm.org.my,"The museum provides an insight into the beauty of Islamic arts and the great civilisation that inspired it. The various themed galleries exhibit priceless treasures. Highlights include the Islamic Architecture Gallery which showcases replicas of famous buildings such as the Taj Mahal in India, Masjid Al-Haram Mosque in Mecca as well as the Amir Timur Mausoleum in Uzbekistan.�",No,"Islamic Arts Museum Malaysia, Jalan Lembah, Tasik Perdana, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",4.5,3496,static/place_pics/Islamic Arts Museum.jpg
10,Jalan Alor,Neighborhoods,Neighborhoods,Always Open,http://www.visitkl.gov.my/visitklv2/index.php?r=column/cthree&id=112&place_id=968,tel:%2B60%203-2144%202177,None,"A must for adventurous foodies, sample your way through this bustling road at night for fantastic street food.",Yes,"Jalan Alor, Kuala Lumpur.",4,7500,static/place_pics/Jalan Alor.jpg
