rest_id,rest_name,rest_operatingHour,rest_address,rest_phonenum,rest_website,rest_email,rest_desc,rest_rating,rest_num_rater,rest_keyword,rest_attractions,image1_img,image2_img,image3_img
1,Tim's Teapot Terrace,11.00 AM - 7.00 PM,"9128 Jalan Bandar 4 Taman Melawati, Kuala Lumpur 53100 Malaysia",03-4106 2043,https://www.instagram.com/timsteapotterrace/?hl=en,None,"Scones, pots of tea, finger sandwiches. All of these are elements of an English afternoon tea spread, and who doesn't love that? There's something so cosy and comforting about tucking into a warm scone spread with jam and clotted cream. And if you're looking for a spot to have an amazing halal English afternoon tea in KL Tim's Teapot Terrace is here to save the day. Tim's Teapot Terrace is a cafe located in Melawati. Nestled along the quieter Lorong Perak amidst the hustle and bustle of all the shop lots in the area, the unassuming exterior of the cafe will beckon with its cheerful plants and the cakes and teapots being displayed in the window. Once inside you'll find a homey interior filled with couches, draperies, warm lighting, knick-knacks and a mish-mash of furnishings that decorate the whole cafe. While it may look small at first glance, don't worry, there's a further larger seating area through the curtained doorway. The overall ambience of the cafe evokes being in an English grandmother's sitting room for a cup of tea! The cafe has table service, but don't forget to go up to the cake display at the window as well as the chiller counter to see what bakes are in store for the day. It's probably little wonder that a popular menu item at the cafe is the Cream Tea. Comprising two homemade scones that come with jam and homemade clotted cream at the side, it also comes with tea and coffee. By the way, the tea menu is pretty extensive! Serving British Whittard tea, they have everything from the classic English Breakfast Tea to Golden Chamomile, Blueberry Rooibos and Peppermint, to name a few.  But the cafe doesn't just serve tea and desserts, they actually have a full menu of hot food with mains like pasta, burgers and sandwiches plus quintessential British dishes like Shepherd's Pie. They also regularly serve light bites such as soups and croquettes. While the menu is predominantly Western, the cafe has also started introducing specials featuring local dishes on select days (usually Friday), so keep an eye out on their Instagram for further updates. The cafe also has afternoon tea special on alternate Saturdays (twice a month)! Made for two people to share, you'll get an adorable two-tiered serving tray filled with all kinds of goodies including scones, sandwiches and other sweet and savoury treats. As mentioned, it's only served twice a month, so do plan ahead if you'd like to go for it. It's the perfect excuse for a catch up with your BFF!",3.5,28,Cafe,Dessert,static/restaurant_pics/Tbg.jpg,,
2,Nutmeg KL,9.30 AM - 10.00 PM,"Level UG, Bangsar Village 2, Kuala Lumpur 59000 Malaysia",03-2710 4018,http://www.nutmegkl.com/,info@nutmegkl.com,"Cracking open this week, this shining-shimmering cafe's a splendid sight for sore eyes, a dazzling place that Bangsar's brunch-hunters can now come to know. Nutmeg's something of a family enterprise, comprising two brothers-in-law for its shooting stars; Gordon welcomes customers & watches over the service crew, while William minds the menu & mans the kitchen. There's more to the team, but these were the two men we met. The ideal introduction to Nutmeg is its egg-explosive, early-bird selection, offered through the afternoon. Taking us wonder by wonder, we start with this simple but satisfying fried egg, the magic carpet over a mound of sauteed potatoes, salt beef hash & red peppers (RM16+). Don't resist the 'croissant-wich' (RM26+), spilling over with house-cured salmon & the creamiest scrambled eggs. Nutmeg's fare feels touched by homemade, honest virtues, likely since William has spent more time cooking for his family & friends than for restaurants. Hold your breath, it gets better: Spinach frittata (RM18+) stuffed with sun-dried tomatoes, onions & a stinky-special surprise unmentioned on the menu: blue cheese. With time to spare, we at last let our desserts-desirous hearts decide: Warm chocolate pudding (RM13+) with hazelnut praline & vanilla ice cream.  Sufficient coffee to send us soaring, tumbling, freewheeling through an endless caffeinated high.  Not exactly a crystal-clear concept, but it's worth noting that Nutmeg's constructed to evoke spaces in a home, with its own 'front porch,' 'living room' & 'back terrace.'  Let Nutmeg show us a whole new world of local artwork (for sale on the cafe's walls), currently featuring a fantastic feathered point of view. Strictly for the birds, in a sense.",4,134,Cafe,Dessert,static/restaurant_pics/Tbg.jpg,,
3,Dotty's Pastries & Coffee,9.00 AM - 9.00 PM,"20-G, Jalan Tun Mohd Fuad 2, Taman Tun Dr. Ismail, Kuala Lumpur 60000 Malaysia",03-7733 4233,http://www.mydottys.com/,hello@mydottys.com,"At Dotty’s Pastries & Coffee, our breads and pastries are made from scratch and baked fresh daily without any preservatives and artificial to guarantee freshness and healthiness. We are using only the finest, freshest and best ingredients in our bakeries. We uphold our vision and mission in delivering the very best, unique and finest quality pastries, cakes and confectionaries with excellent services to our patrons and pastries lovers. We ensure that you’ll enjoy our bakeries until its last crumbs. Our bakeries and services will exceed your expectation.",3.5,105,Cafe,Dessert,static/restaurant_pics/Tbg.jpg,,
4,Chequers,9.00 AM - 10.00 PM,"153 Jalan Aminuddin Baki Taman Tun Dr Ismail, Kuala Lumpur 60000 Malaysia",03-7733 3068,https://www.chequers.com.my/,contact@chequers.com.my,"We are an American restaurant serving handmade Waffles and American meals using premium local & Halal ingredients set in a fun and whimsical atmosphere. We serve a variety of breakfast, lunch and dinner items that are loved by people of all ages, offering an affordable, everyday dining experience with warm and friendly service. Our unique recipe uses quality butter leavened batter, which makes feathery light and crispy golden waffles. All our dishes are made fresh daily from scratch, with no preservatives. We use the freshest ingredients in our dough, patty, sauces and toppings to ensure the highest quality of product to be made in house. We promise to make your experience as delightful as we can, and will do our best to accommodate any special request. Because we are Chequers and a whole lot more.",3.5,38,Cafe,Heavy Meals,static/restaurant_pics/Tbg.jpg,,
5,MAD ABOUT COCO,11.30 AM - 11.30 PM,"179 Jalan Bukit Bintang Lot 01- 03 01& 02 Fahrenheit 88, Kuala Lumpur 55100 Malaysia",03-2110 5996,https://www.facebook.com/Mad-About-Coco-Fahrenheit-88-780339595370915/,madaboutcocomy@gmail.com,"The logo of MAD About Coco leaves a deep impression to us. Afro hairstyle, Tiffany-blue frame sunglasses and bowtie in pink sum up to a cute, adorable head that draws curiosity to many once opened, asking what the cafe has to offer. MAD About Coco sweeps across the town swiftly, getting attention not only for its attractive logo, but also the cafe’s signature delights- an extensive choices of tempting chocolate-loaded desserts that will get your hair “explodes” as in the logo! Yes, chocolate takes the limelight in MAD About Coco. You can have it on pancake, crepe, cronuts, waffle, toast, etc.. Good thing is they are not skimp on the chocolate. Definitely a heaven for sweet treat lovers. A place that you should forget the guilt of over-calories. Just indulge heartily and think about workout later. MAD About Coco has been operating in Publika Solaris Dutamas for more than one year. Congrates as they have expanded another outlet in Fahrenheit 88 Kuala Lumpur recently. In Publika, MAD About Coco is located above Mee Java, same row with Yamagoya Ramen; For Fahrenheit 88 outlets, it is right above Body Shop, facing the main road. Best seller in MAD about Coco besides the signature MAD about Coco Chocolate Moist Cake, also one of the most inviting desserts to indulge in. Appears in hollow ball-shape made up of half white chocolate and half dark chocolate, encasing a small slice of tiramisu within, this dessert delivers contrasting crispy and spongy soft texture if eaten directly. MAD about Coco makes it more fun with a serving of pure chocolate sauce. Pour the pipping hot sauce over to deconstruct the entire crust, melting everything together to level up the rich, chocolaty goodness. In short, MAD About Coco is a worth recommended cafe for decent desserts. May not be the best, but we like the friendly service, hard effort in presenting every dish to be photography-worthy while tasting delicious is much appreciated. Are you always mad about dessert? Visit MAD About Coco Cafe!",4,26,Cafe,Dessert,static/restaurant_pics/Tbg.jpg,,
6,Heartbeans Coffee,9.00 AM - 8.00 PM,"8 Jalan Pandan Indah 4/6a, Kuala Lumpur 55100 Malaysia",019-326 8326,https://www.facebook.com/heartbeans/,heartbeanscoffee@gmail.com,"Heartbeans Coffee – Pandan Indah KL  newest cafe. For the past 20 years, Pandan Indah is the place that Summerkid ‘s family frequent most for breakfast and dinner. We’ll not say this neighbourhood area is brimming with uncountable choices, but it secures some of the best food in KL – Kin Kin Chilli Pan Mee, Pee Nong Thai Food, Hometown Steamboat and so forth. Recently, we’ve seen a change of pace in Pandan Indah, from having only traditional kopitiam, seafood restaurants, and local food court to additional eateries which reflect energetic, young vibes – cafes with third-wave coffee.  Bookmark Cafe, S Garden Cafe and Heartbeans Coffee ( not sure why we keep remember it as Heartbeat Cafe LOL ) are the few we came across by far. Heartbeans Cafe is located same row with Fougasse Boulangerie & Patisserie. The cafe boasts a touch of industrial elegance, putting together concrete walls, wooden furnishing, vintage Edison light bulbs in its elongated cafe space.  For food, you can find toasted sandwiches, French toast, English breakfast, pasta, chicken chop, fish & chips, fried chicken chops, spaghetti, nasi lemak rendang chicken, crispy chicken rice, coffee, fruit tea, flower tea, fruit juice, green tea latte, hot chocolate, milk tea on Heartbeans Cafe menu. All reasonably priced below RM20 except for Big Breakfast. In short, a cozy cafe suitable for friends and family gathering. Food is reasonable in price, service is friendly and our Nasi Lemak is highly recommended.",4,2,Cafe,Coffee N Tea,static/restaurant_pics/Tbg.jpg,,
7,Quartet TTDI,9.00 AM - 6.00 PM,"21 Lorong Datuk Sulaiman 7, Kuala Lumpur 60000 Malaysia",03-7731 5033,http://www.quartet-kl.co/,hellottdi@quartet-kl.co,"Fifteen months after it first popped up in Taman Tun Dr Ismail & became one of this neighbourhood’s most soulful hangouts, Quartet is jazzing up its F&B selection with a retuned, rocking menu for 2015 that aims to drum up the appetites of cafe lovers. Begin with brunch: Quartet keeps its eggs running all day long, so customers can have a hearty platter of Eggs Rockafella (RM26.50), featuring lovely poached eggs cushioned with toasted muffins & beef bacon, crowned with capsicum hollandaise, until the kitchen closes at 8:30pm. Swap the bacon for smoked salmon if you prefer fish to meat. Most of Quartet’s ‘Main Table’ repertoire comprises baked produce that’s made fresh in the cafe’s kitchen, so sink your teeth with confidence into a warm, crusty crab toastie (RM33.50), built with rye bread topped with fleshy crab meat, savoury melted mixed cheese & creamy bechamel sauce, served with skillet potatoes for an extra prescription of carbs. Quartet passes the crucial sandwich test too; choose either chicken, with tender pan-seared breast meat & buttermilk sauce (RM30), or steak, with marinated rib-eye & ratatouille (RM29). Each makes a full meal on its own, coupled with side salads. Quartet’s bakers also have some treats up their sleeves for the sweet tooth: Pain blanc, or plain ol’ white bread, becomes a delicious delight with cream cheese, caramel & roselle syrup, sliced for nibbling, with berries & vanilla ice cream. RM13.90. And for the young at heart, try the Baby French Toast (RM13), with tiny twists that tantalise, crusted with cornflakes & flavoured with cream cheese & strawberry jam. There’s still more on the menu, from chai tea-tinged creme brulee (RM6) to affogatos with a peanut butter cookie base & chocolate raspberry sauce (RM10). Quartet proves to be a maestro of milkshakes – no fewer than eight creamy varieties with nicely balanced flavours are currently available, from the top-rated vanilla milkshake with crunchy roasted peanuts & coffee bean bits to a green tea milkshake with almond tuille to a chocolate milkshake with forest berries, each costing RM16-RM17.",4,21,Cafe,Dessert,static/restaurant_pics/Tbg.jpg,,
8,Coffea Coffee,8.30 AM - 6.00 PM,"No. 8 Jalan Telawi 2 Bangsar, Kuala Lumpur 59100 Malaysia",03-2201 3338,https://coffea.my/,info@coffea.my,"Coffea Coffee is multi-award winning establishment specialising in Specialty Coffee bean from top quality coffee farms in South & Central America and Africa. We import high quality green beans from our partnership farms by way of direct trade for our own roasting purposes. Also we are a member of Cup Of Excellence and official bidder since 2010 to handle most exquisite bean of current coffee market. e have achieved many barista championships and represented Korea to compete in World Barista Championships since 2004. Coffea Coffee closely resembles Melbourne’s Seven Seeds, a warehouse-like setup serving serious cups of coffee. The franchise was founded in Korea by barista Timothy, who has represented his country twice in the World Barista Championship, the Oscars of the coffee world. Incidentally, the company also roasts their own blends (a selection of beans from Ethiopia, Guatemala, Brazil, Columbia and Costa Rica), with their two signatures being the Maestro and Madonna. The former is punchy and great for a caffeine shoot while the latter is smooth and well-rounded. Coffea Coffee will have to find its footing next to Antipodean and Artisan Roast, but killer blends and an unadulterated passion for good coffee are great yardsticks to measure against the heavyweights. Also, the place doesn’t pride itself on trendy paraphernalia or indie music reruns, reinforcing itself as exactly the kind of unpretentious hangout Bangsar needs.",4,79,Cafe,Coffee N Tea,static/restaurant_pics/Tbg.jpg,,
9,Green Tomato Cafe,8.00 AM - 3.00 PM,"No. 34 Jalan Mengkuang No 51, Embun kemensah, Kuala Lumpur 68000 Malaysia",012-257 9775,https://greentomatocafe.com.my/,tmsart@tmsart.com.my,"If one was looking for a change from hipster cafés and the laptop-tapping young professionals or looking to escape the racket that lunching children create, one should perhaps head over to Green Tomato Café, that is hidden behind the busy Jalan Ampang, off Persiaran Ritchie. The open-air setting is something rare in KL, with enough space for kicking a ball around while waiting for the food making it one of the most child-friendly cafés around. Ample parking right next door is another bonus! The café shares the premises with Yayasan Seni Gallery and myBatik workshop which is open for budding artists, and a small batik shop. This would also be a great place to bring visitors to try out batik painting or have some me-time over a cuppa while the kids paint. Coffee is excellent and service is friendly. The food, although not very exciting (think burgers, sandwiches, cooked breakfast and a few pastas), is hearty and home-cooked. The children enjoyed their kids’ set of fish & chips, babyccino and a muffin. We kept quiet about the ice lolly that would have been part of the set seeing that they could barely walk out after polishing their plates. We come here when we are looking for a quick and easy meal for the kids in this area and nice coffee for the adults. We appreciate the greenery and absolute lack of that ear-breaking weekend brunch noise of the trendy cafés in town – it’s like a secret garden a stone’s throw away from the city.",4.5,135,Cafe,Coffee N Tea,static/restaurant_pics/Tbg.jpg,,
10,Nyonya Colors,8.00 AM - 8.00 PM,"K21, Level 2, Suria KLCC, Kuala Lumpur 50088 Malaysia",03-7722 2088,https://nyonyacolors.com/,nyonyacl@gmail.com,"Nyonya Colors is a chain of 10 outlets selling nyonya kuih, little cakes made to traditional recipes usually using steamed rice flour or tapioca, coconut, gula melaka and local flavours. They also do a small range of local savoury dishes. We visited the branch at Nu Sentral mall. The guy serving us didn’t seem to speak any English or Malay; in fact he only spoke one word to us and the rest of the communication was in grunts, nods and waves! That might be why he missed off part of the order. I went for roti bakar kaya, which is hailam toast with coconut curd and butter, plus some half boiled eggs. Risking salmonella, they come with a runny yolk and a runny white, to which you add pepper and soy sauce. I like to dip the toast in for a sweet/savoury contrast. All fine.We shared some kuih. Getuk-getuk is a cake of pressed grated tapioca topped with sweet and salty coconut. Very dry, but quite good with coffee or the egg. Ang ku is my wife’s favourite, being glutinous rice flour around a sweet bean paste. She also likes the kochi, which is a cone of the same around sweet coconut, coloured with blue pea.Wife summed up Nyonya Colors well – while nothing stands out, most locals would be content to eat there each day. Not so good for vegetarians, it’s still ok occasionally.",3.5,153,Restaurant,Heavy Meals,static/restaurant_pics/Tbg.jpg,,
